Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
armed-sconce,Armed Sconce,"<div class="" py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product1.jpg?v=1594797533"" alt=""""></div>
<div class=""col-md-6 info2"">
<div>
<h3>Endsley 1-Light Globe LED Pendant</h3>
<p>Available in a range of contemporary colour choices to suit any existing décor, this three-light pendant is ideal for casting a spotlight on special areas of your home. Well-suited for kitchen islands or highlighting a standout item of furniture, the pendant is also height adjustable and dimmable for greater control over your lighting situation. Lightbulbs are not included.</p>
</div>
<a><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product2.jpg?v=1594798022"" alt=""""></a>
</div>
</div>
</div>
<div class="" py-4 des-info"">
<div class=""text-center"">
<h3>Product Details</h3>
<p>Three lights provide you with a warming glow perfect for your hallway, lounge or dining room. The item has many different elements: A sturdy chain, elegant antique brass body and 3 textured holophane glass with texture detail.</p>
</div>
</div>
<a class=""d-block py-3""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product3.jpg?v=1594798438"" alt=""""> </a>",Alamp - Interior Decor and Lights Responsive Shopify Theme,"","$30-$50, Black, Medium, Small",true,Size,Small,Color,Black,,,"",0.0,,0,deny,manual,34.00,41.00,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/5.1.jpg?v=1594608771,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/5.1.jpg?v=1594608771,kg,,
armed-sconce,,,,,,,,Medium,,Black,,,"",0.0,,0,deny,manual,38.00,41.00,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/17.2_810b3a5b-c00d-4d64-82c6-6d73a3ee7160.jpg?v=1594798485,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/5.1.jpg?v=1594608771,kg,,
armed-sconce,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/17.3_d33818c2-1775-4459-b142-5771af010a28.jpg?v=1594798486,3,,,,,,,,,,,,,,,,,,,,,
cohen-1-light-dome-pendant,Cohen 1-Light Dome Pendant,"<div class="" py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product1.jpg?v=1594797533"" alt=""""></div>
<div class=""col-md-6 info2"">
<div>
<h3>Endsley 1-Light Globe LED Pendant</h3>
<p>Available in a range of contemporary colour choices to suit any existing décor, this three-light pendant is ideal for casting a spotlight on special areas of your home. Well-suited for kitchen islands or highlighting a standout item of furniture, the pendant is also height adjustable and dimmable for greater control over your lighting situation. Lightbulbs are not included.</p>
</div>
<a><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product2.jpg?v=1594798022"" alt=""""></a>
</div>
</div>
</div>
<div class="" py-4 des-info"">
<div class=""text-center"">
<h3>Product Details</h3>
<p>Three lights provide you with a warming glow perfect for your hallway, lounge or dining room. The item has many different elements: A sturdy chain, elegant antique brass body and 3 textured holophane glass with texture detail.</p>
</div>
</div>
<a class=""d-block py-3""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product3.jpg?v=1594798438"" alt=""""> </a>",Alamp - Interior Decor and Lights Responsive Shopify Theme,"","$50-$100, Grey, LightYellow, Medium",true,Size,Medium,Color,Grey,,,"",0.0,,0,deny,manual,96.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/15.1.jpg?v=1594627256,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/15.1.jpg?v=1594627256,kg,,
cohen-1-light-dome-pendant,,,,,,,,Medium,,LightYellow,,,"",0.0,,0,deny,manual,96.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/15.2.jpg?v=1594627256,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/15.2.jpg?v=1594627256,kg,,
cohen-1-light-dome-pendant,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/15.3.jpg?v=1594627256,3,,,,,,,,,,,,,,,,,,,,,
cohen-1-light-dome-pendant,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/15.4.jpg?v=1594627256,4,,,,,,,,,,,,,,,,,,,,,
cotton-novelty-pendant,Cotton Novelty Pendant,"<div class="" py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product1.jpg?v=1594797533"" alt=""""></div>
<div class=""col-md-6 info2"">
<div>
<h3>Endsley 1-Light Globe LED Pendant</h3>
<p>Available in a range of contemporary colour choices to suit any existing décor, this three-light pendant is ideal for casting a spotlight on special areas of your home. Well-suited for kitchen islands or highlighting a standout item of furniture, the pendant is also height adjustable and dimmable for greater control over your lighting situation. Lightbulbs are not included.</p>
</div>
<a><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product2.jpg?v=1594798022"" alt=""""></a>
</div>
</div>
</div>
<div class="" py-4 des-info"">
<div class=""text-center"">
<h3>Product Details</h3>
<p>Three lights provide you with a warming glow perfect for your hallway, lounge or dining room. The item has many different elements: A sturdy chain, elegant antique brass body and 3 textured holophane glass with texture detail.</p>
</div>
</div>
<a class=""d-block py-3""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product3.jpg?v=1594798438"" alt=""""> </a>",Alamp - Interior Decor and Lights Responsive Shopify Theme,"","$30-$50, Black, Grey, Medium, Teal, Yellow",true,Size,Medium,Color,Grey,,,"",0.0,,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/12.1.jpg?v=1594616410,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/12.1.jpg?v=1594616410,kg,,
cotton-novelty-pendant,,,,,,,,Medium,,Black,,,"",0.0,,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/12.2.jpg?v=1594616410,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/12.2.jpg?v=1594616410,kg,,
cotton-novelty-pendant,,,,,,,,Medium,,Yellow,,,"",0.0,,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/12.3.jpg?v=1594616410,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/12.3.jpg?v=1594616410,kg,,
cotton-novelty-pendant,,,,,,,,Medium,,Teal,,,"",0.0,,0,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/12.4.jpg?v=1594616410,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/12.4.jpg?v=1594616410,kg,,
cotton-tapered-pendant,Cotton Tapered Pendant,"<div class="" py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product1.jpg?v=1594797533"" alt=""""></div>
<div class=""col-md-6 info2"">
<div>
<h3>Endsley 1-Light Globe LED Pendant</h3>
<p>Available in a range of contemporary colour choices to suit any existing décor, this three-light pendant is ideal for casting a spotlight on special areas of your home. Well-suited for kitchen islands or highlighting a standout item of furniture, the pendant is also height adjustable and dimmable for greater control over your lighting situation. Lightbulbs are not included.</p>
</div>
<a><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product2.jpg?v=1594798022"" alt=""""></a>
</div>
</div>
</div>
<div class="" py-4 des-info"">
<div class=""text-center"">
<h3>Product Details</h3>
<p>Three lights provide you with a warming glow perfect for your hallway, lounge or dining room. The item has many different elements: A sturdy chain, elegant antique brass body and 3 textured holophane glass with texture detail.</p>
</div>
</div>
<a class=""d-block py-3""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product3.jpg?v=1594798438"" alt=""""> </a>",Alamp - Interior Decor and Lights Responsive Shopify Theme,"","$20-$30, Medium, SlateGray, Yellow",true,Size,Medium,Color,Yellow,,,"",0.0,,0,deny,manual,16.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/10.1.jpg?v=1594614439,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/10.1.jpg?v=1594614439,kg,,
cotton-tapered-pendant,,,,,,,,Medium,,SlateGray,,,"",0.0,,0,deny,manual,16.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/10.2.jpg?v=1594614439,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/10.2.jpg?v=1594614439,kg,,
cotton-tapered-pendant,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/2.1_8a063eec-fe14-43eb-85be-bad85ad63fe5.jpg?v=1594614439,3,,,,,,,,,,,,,,,,,,,,,
cotton-tapered-pendant,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/7.2_cf582398-5f78-436d-83a5-11c498fde23c.jpg?v=1594614439,4,,,,,,,,,,,,,,,,,,,,,
dome-pendant,Dome Pendant,"<div class="" py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product1.jpg?v=1594797533"" alt=""""></div>
<div class=""col-md-6 info2"">
<div>
<h3>Endsley 1-Light Globe LED Pendant</h3>
<p>Available in a range of contemporary colour choices to suit any existing décor, this three-light pendant is ideal for casting a spotlight on special areas of your home. Well-suited for kitchen islands or highlighting a standout item of furniture, the pendant is also height adjustable and dimmable for greater control over your lighting situation. Lightbulbs are not included.</p>
</div>
<a><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product2.jpg?v=1594798022"" alt=""""></a>
</div>
</div>
</div>
<div class="" py-4 des-info"">
<div class=""text-center"">
<h3>Product Details</h3>
<p>Three lights provide you with a warming glow perfect for your hallway, lounge or dining room. The item has many different elements: A sturdy chain, elegant antique brass body and 3 textured holophane glass with texture detail.</p>
</div>
</div>
<a class=""d-block py-3""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product3.jpg?v=1594798438"" alt=""""> </a>",Alamp - Interior Decor and Lights Responsive Shopify Theme,"","$50-$100, Black, Copper, Medium",true,Size,Medium,Color,Black,,,"",0.0,,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/17.1.jpg?v=1594630184,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/17.1.jpg?v=1594630184,kg,,
dome-pendant,,,,,,,,Medium,,Copper,,,"",0.0,,0,deny,manual,95.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/17.2.jpg?v=1594630184,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/17.2.jpg?v=1594630184,kg,,
dome-pendant,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/17.3.jpg?v=1594630184,3,,,,,,,,,,,,,,,,,,,,,
dome-pendant,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/17.4.jpg?v=1594630184,4,,,,,,,,,,,,,,,,,,,,,
hadley-32-cm-table-lamp,Hadley 32 cm Table Lamp,"<div class="" py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product1.jpg?v=1594797533"" alt=""""></div>
<div class=""col-md-6 info2"">
<div>
<h3>Endsley 1-Light Globe LED Pendant</h3>
<p>Available in a range of contemporary colour choices to suit any existing décor, this three-light pendant is ideal for casting a spotlight on special areas of your home. Well-suited for kitchen islands or highlighting a standout item of furniture, the pendant is also height adjustable and dimmable for greater control over your lighting situation. Lightbulbs are not included.</p>
</div>
<a><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product2.jpg?v=1594798022"" alt=""""></a>
</div>
</div>
</div>
<div class="" py-4 des-info"">
<div class=""text-center"">
<h3>Product Details</h3>
<p>Three lights provide you with a warming glow perfect for your hallway, lounge or dining room. The item has many different elements: A sturdy chain, elegant antique brass body and 3 textured holophane glass with texture detail.</p>
</div>
</div>
<a class=""d-block py-3""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product3.jpg?v=1594798438"" alt=""""> </a>",Alamp - Interior Decor and Lights Responsive Shopify Theme,"","$10-$20, BlanchedAlmond, Large, Medium",true,Size,Medium,Color,BlanchedAlmond,,,"",0.0,,0,deny,manual,19.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/3.1.jpg?v=1594606979,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/3.1.jpg?v=1594606979,kg,,
hadley-32-cm-table-lamp,,,,,,,,Large,,BlanchedAlmond,,,"",0.0,,0,deny,manual,22.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/3.2.jpg?v=1594606979,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/3.1.jpg?v=1594606979,kg,,
hadley-32-cm-table-lamp,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/3.3.jpg?v=1594606979,3,,,,,,,,,,,,,,,,,,,,,
hadley-32-cm-table-lamp,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/3.4.jpg?v=1594606979,4,,,,,,,,,,,,,,,,,,,,,
light-ceiling-light,Light Ceiling Light,"<div class="" py-4"">
<div class=""row"">
<div class=""col-md-6""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product1.jpg?v=1594797533"" alt=""""></div>
<div class=""col-md-6 info2"">
<div>
<h3>Endsley 1-Light Globe LED Pendant</h3>
<p>Available in a range of contemporary colour choices to suit any existing décor, this three-light pendant is ideal for casting a spotlight on special areas of your home. Well-suited for kitchen islands or highlighting a standout item of furniture, the pendant is also height adjustable and dimmable for greater control over your lighting situation. Lightbulbs are not included.</p>
</div>
<a><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product2.jpg?v=1594798022"" alt=""""></a>
</div>
</div>
</div>
<div class="" py-4 des-info"">
<div class=""text-center"">
<h3>Product Details</h3>
<p>Three lights provide you with a warming glow perfect for your hallway, lounge or dining room. The item has many different elements: A sturdy chain, elegant antique brass body and 3 textured holophane glass with texture detail.</p>
</div>
</div>
<a class=""d-block py-3""><img src=""https://cdn.shopify.com/s/files/1/0432/0791/7732/files/product3.jpg?v=1594798438"" alt=""""> </a>",Alamp - Interior Decor and Lights Responsive Shopify Theme,"","$50-$100, Medium, SlateGray, Small, Tan, White",true,Size,Small,Color,SlateGray,,,"",0.0,,0,deny,manual,75.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.1.jpg?v=1594612791,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.1.jpg?v=1594612791,kg,,
light-ceiling-light,,,,,,,,Small,,Tan,,,"",0.0,,0,deny,manual,75.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.2.jpg?v=1594612791,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.2.jpg?v=1594612791,kg,,
light-ceiling-light,,,,,,,,Small,,White,,,"",0.0,,0,deny,manual,75.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.3.jpg?v=1594612791,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.3.jpg?v=1594612791,kg,,
light-ceiling-light,,,,,,,,Large,,SlateGray,,,"",0.0,,0,deny,manual,83.00,,true,true,"",https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.4.jpg?v=1594612791,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.1.jpg?v=1594612791,kg,,
light-ceiling-light,,,,,,,,Large,,Tan,,,"",0.0,,0,deny,manual,83.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.2.jpg?v=1594612791,kg,,
light-ceiling-light,,,,,,,,Large,,White,,,"",0.0,,0,deny,manual,83.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0432/0791/7732/products/8.3.jpg?v=1594612791,kg,,
